source,relation,target
cu_17_2,exclude,cu_17_1
cu_8_2,refer_to,《上市规则》
cu_9_1,refer_to,《公司法》
cu_9_2,refer_to,《中华人民共和国公务员法》
cu_9_3,refer_to,《上市公司独立董事管理办法》
cu_9_4,refer_to,《关于规范中管干部辞去公职或者退（离）休后担任上市公司、基金管理公司独立董事、独立监事的通知》
cu_9_5,refer_to,《关于进一步规范党政领导干部在企业兼职（任职）问题的意见》
cu_9_6,refer_to,《关于加强高等学校反腐倡廉建设的意见》
cu_9_7,refer_to,《股份制商业银行独立董事和外部监事制度指引》
cu_9_8,refer_to,《证券基金经营机构董事、监事、高级管理人员及从业人员监督管理办法》
cu_9_9,refer_to,《银行业金融机构董事（理事）和高级管理人员任职资格管理办法》
cu_9_9,refer_to,《保险公司董事、监事和高级管理人员任职资格管理规定》
cu_9_9,refer_to,《保险机构独立董事管理办法》
cu_28_3,refer_to,《上市规则》
