source,relation,target
cu_50_1,should_include,Law_13
cu_50_1,should_include,Law_14
cu_50_1,should_include,Law_15
cu_50_1,should_include,Law_17
cu_50_1,should_include,Law_19
cu_50_1,should_include,Law_20
cu_52_2,should_include,Law_26
cu_13_7,exclude,cu_13_1
cu_17_5,exclude,cu_17_1
cu_17_5,exclude,cu_17_2
cu_17_5,exclude,cu_17_3
cu_17_5,exclude,cu_17_4
cu_25_2,exclude,cu_24_2
cu_60_2,exclude,cu_37_2
cu_5_1,refer_to,《回购规则》
cu_17_5,refer_to,Law_17
cu_22_2,refer_to,Law_23
cu_24_4,refer_to,Law_4
cu_26_21,refer_to,cu_26_14
cu_33_1,refer_to,《公司法》
cu_48_2,refer_to,《公司法》
cu_48_3,refer_to,《公司法》
cu_50_1,refer_to,Law_13
cu_50_1,refer_to,Law_14
cu_50_1,refer_to,Law_15
cu_50_1,refer_to,Law_17
cu_50_1,refer_to,Law_19
cu_50_1,refer_to,Law_20
cu_52_1,refer_to,Law_22
cu_52_1,refer_to,Law_23
cu_52_1,refer_to,Law_24
cu_52_1,refer_to,Law_25
cu_52_1,refer_to,Law_26
cu_52_1,refer_to,Law_27
cu_52_1,refer_to,Law_28
cu_52_1,refer_to,Law_29
cu_52_1,refer_to,Law_30
cu_52_1,refer_to,Law_31
cu_52_1,refer_to,Law_32
cu_52_1,refer_to,Law_33
cu_58_1,refer_to,本所、中国结算关于要约收购的相关规定
cu_59_1,refer_to,附件4
cu_59_1,refer_to,附件5
cu_61_1,refer_to,Law_38
cu_62_1,refer_to,Law_36
cu_68_1,refer_to,《北京证券交易所持续监管指引第3号——股权激励和员工持股计划》
cu_68_2,refer_to,Law_24
cu_68_3,refer_to,Law_25
cu_68_3,refer_to,Law_33
cu_70_3,refer_to,Law_67
cu_71_1,refer_to,附件7
