source,relation,target
cu_7_1,only_include,Law_2
cu_7_1,only_include,Law_3
cu_7_1,only_include,Law_10
cu_7_1,only_include,Law_11
cu_7_1,only_include,Law_23
cu_7_1,only_include,Law_27
cu_7_2,only_include,Law_2
cu_7_2,only_include,Law_3
cu_7_2,only_include,Law_10
cu_7_2,only_include,Law_11
cu_7_2,only_include,Law_12
cu_7_2,only_include,Law_23
cu_7_2,only_include,Law_27
cu_17_2,exclude,cu_17_1
cu_21_4,exclude,Law_4
cu_24_1,refer_to,《上市公司收购管理办法》
cu_4_4,refer_to,《上市规则》
cu_9_2,refer_to,《上市规则》
cu_13_3,refer_to,Law_12
cu_15_1,refer_to,《上市规则》
cu_4_9,should_include,Law_12
cu_7_1,should_include,Law_2
cu_7_1,should_include,Law_3
cu_7_1,should_include,Law_10
cu_7_1,should_include,Law_11
cu_7_1,should_include,Law_23
cu_7_1,should_include,Law_27
cu_7_2,should_include,Law_2
cu_7_2,should_include,Law_3
cu_7_2,should_include,Law_10
cu_7_2,should_include,Law_11
cu_7_2,should_include,Law_12
cu_7_2,should_include,Law_23
cu_7_2,should_include,Law_27
cu_13_3,should_include,Law_12
cu_24_5,should_include,Law_11
cu_24_5,should_include,Law_12
