财务数据日期,公告类型,公告日期,审计意见,总资产,总负债,净资产,资产负债率,交易性金融资产,衍生金融资产,债权投资,其他债权投资,其他权益工具投资,其他非流动金融资产,其他流动资产,金融资产总额,总股本,每股净资产,合并报表未分配利润,母公司报表未分配利润,营业收入,净利润,每股净利润,母公司报表净利润,经营活动现金流量净额,投资活动现金流量净额,筹资活动现金流量净额,现金及现金等价物净增加额,净资产增长率,净利润增长率,资产负债率变化,金融资产增长率,日期,是否实施现金分红,是否实施股票股利,是否公积金转增股本,相关股东前三个月内存在减持情形,相关股东后三个月存在减持计划,现金分红金额,送股比例,转增比例,是否进行权益分派,权益分派方案文本,公司简称
2018-03-31,季报,2018-04-30,非标准无保留意见,277427489.72350144,81305466.4991127,196122023.22438872,0.29306925056397953,20725339.57621942,21.234318604976835,97206.52893438452,21230037.926251248,1396.9957722308711,457064.4370836595,0.00022829618836047897,43274421.1018204,40000000,4.903050580609718,556799.7369022749,485712.6742995865,3349972.5587626635,795428.1955746785,0.019885704889366963,693875.2489994094,47679455.50198723,-37727408.72945243,126235584.24618888,136187631.01872367,0.08956679569104842,-0.011365100245851157,-0.0069307494360204705,0.048857081231852374,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2018-06-30,半年报,2018-08-27,无保留意见,321534136.88623047,104026533.23694229,217507603.64928818,0.32353184717599787,25239115.06889535,29.362185675380235,123177.23136248153,28310070.532951068,1745.745728828806,620323.8046439567,0.00032819633060576477,53976261.760642104,40000000,5.437690091232205,1319010.7208757203,1159773.960496021,982738.1269193023,1088872.834247779,0.027221820856194477,962944.6945663352,56049343.77831091,-44146115.341622934,152281407.01120773,164184635.4478957,0.10904221807069377,0.016489889169740573,0.030462596612018358,0.05053957256880111,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2018-09-30,季报,2018-10-27,无保留意见,386885902.8349262,160678884.32636294,226207018.50856325,0.4153133602154543,25987447.936374344,29.02786991509206,121475.04528020206,30446474.863499712,1667.1297658428398,589833.2476397187,0.00033219964739189805,58914700.637390696,40000000,5.655175462714081,5762739.428392076,5237947.363169116,28024574.319900893,6348183.867880508,0.1587045966970127,5825962.0038187085,30166448.084714938,-54245113.72673949,171950126.2795289,147871460.63750434,0.03999591146846569,0.2907484110162597,0.09178151303945638,0.11568224269821005,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2018-12-31,年报,2019-03-30,无保留意见,430919320.388031,183064912.79112792,247854407.59690306,0.42482410077664423,36719005.359901085,37.808436347457494,176080.07988906887,39910519.03723259,2381.6734076605344,820252.396120555,0.00042360784545276633,73370457.18654999,40000000,6.196360189922577,13054835.898161495,11903782.254025694,32638903.993738655,10417280.671099171,0.2604320167774793,9522621.272652255,17382808.20348638,-60817429.462516196,204826303.21578717,161391681.95675737,0.09569724772938615,0.17427894290383833,0.00951074056118997,-0.04668152499490301,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2019-03-31,季报,2019-04-30,无保留意见,432195471.62943065,189533515.09499615,242661956.5344345,0.43853655934994235,26718680.39658638,29.95310279738503,140282.73891744608,35006818.86759175,2075.9859128125254,694660.0128055084,0.00040056152176801596,65937523.43794608,40000000,6.0665489133608625,23591176.685777586,21755156.844998863,28602105.27942099,15051915.410880134,0.37629788527200336,14073392.272818811,25053246.80096555,-62957016.74490364,202674570.58229443,164770800.63835633,-0.020949601472947433,0.16904064248305894,0.013712458573298107,-0.13207049913586347,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2019-06-30,半年报,2019-08-27,无保留意见,473400170.62291175,183626045.0748434,289774125.54806834,0.3878875768743887,38315751.653617956,41.47198772881681,182126.19637775715,39298458.41942518,2246.8147787816138,892354.9236215462,0.0004375871722364159,77811834.12523428,40000000,7.244353138701709,20324630.280219957,18897369.23662108,6442973.94145088,-4666494.865082324,-0.11666237162705809,-4082553.7262539715,30945676.915693507,-61825123.208115734,212703561.4035443,181824115.11112207,0.19414732200491627,-0.6152022437095592,-0.05064898247555366,0.18669845301438565,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2019-09-30,季报,2019-10-27,保留意见,594818988.2884204,282342904.26678216,312476084.0216383,0.47467029436840635,44435979.044372186,45.85856607663326,213304.6176903272,45515806.004343,2874.5166534828986,970191.9253597046,0.0005540475602254856,93222871.40344302,40000000,7.811902100540957,15202665.293173004,14696551.253962673,24152495.90591293,-7317092.838638507,-0.18292732096596268,-6001168.546654868,83220510.8972211,-83780788.1808054,277953876.50999653,277393599.22641224,0.07834363551484194,-0.21491035553648197,0.08678271749401768,0.04285564572864751,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2019-12-31,年报,2020-03-30,无保留意见,566509179.415051,285473518.7648012,281035660.65024984,0.5039168457244891,43132114.120949276,45.6723208102454,219514.3864812176,51983544.02206372,2956.08186252155,1051195.5332284174,0.0005054886265641178,91871067.50093381,40000000,7.025891516256246,9979508.174431575,9852113.7357775,0.0,-7461653.0267734695,-0.18654132566933673,-6920625.025978821,35637598.87048309,-79395102.59790558,272475601.5100938,228718097.78267133,-0.10061705512544525,-0.014929420031188079,0.02924655135608275,0.2418195915797288,,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2020-03-31,季报,2020-04-30,无保留意见,659782789.5357378,369453544.1040678,290329245.43167,0.5599623845357306,49904574.75719585,50.194807243933035,261416.04916636975,54816268.9745134,3334.455173138456,1216349.4314617584,0.0006342306195715374,107707143.17892084,40000000,7.258231135791751,3600442.568143183,4200632.742637598,14342778.639889352,-9112950.866126277,-0.22782377165315693,-8073544.275914145,27169596.480523,-91462296.01277973,297653316.84967977,233360617.31742305,0.03306905878035918,-0.173122014117109,0.05604553881124143,0.03294355482127975,2020-06-09,False,False,False,False,False,0.0,0,0,False,[],骁璋集团
2020-06-30,半年报,2020-08-27,非标准无保留意见,673352733.3383269,364264526.9174809,309088206.42084605,0.5409713347587404,52457862.00014909,54.618579107350605,221609.05832041954,51055295.303426184,3291.265834371857,1146202.1746635437,0.0006180843029805993,105179357.21578038,40000000,7.727205160521151,-5413555.835555325,-3399043.420769364,0.0,-12877140.576712156,-0.3219285144178039,-10856680.233438518,82949512.96812186,-95864917.36481681,321031621.5477594,308116217.15106446,0.06461271568175865,-0.4772621099086644,-0.01899104977699018,0.17230398216091308,2020-09-18,False,False,True,False,False,0.0,0,8,True,"['充分披露高送转的主要考虑及其合理性且送转股后每股收益不低于0.5元', '留存未分配利润的预计用途以及收益情况']",骁璋集团
