source,relation,target
MEU_2_1,or,MEU_2_2
MEU_2_1,or,MEU_2_3
MEU_4_1,or,MEU_4_2
MEU_4_1,or,MEU_4_3
MEU_4_1,or,MEU_4_4
MEU_4_2,or,MEU_4_3
MEU_4_2,or,MEU_4_4
MEU_4_3,or,MEU_4_4
MEU_13_1,or,MEU_13_7
MEU_16_1,or,MEU_16_2
MEU_19_1,or,MEU_19_2
MEU_19_3,or,MEU_19_4
MEU_17_1,or,MEU_17_2
MEU_17_3,or,MEU_17_4
MEU_24_4,or,MEU_24_5
MEU_22_2,or,MEU_22_3
MEU_34_1,or,MEU_34_3
MEU_34_2,or,MEU_34_4
MEU_32_2,or,MEU_32_3
MEU_39_1,or,MEU_39_2
MEU_40_1,or,MEU_40_4
MEU_40_2,or,MEU_40_5
MEU_40_3,or,MEU_40_6
MEU_47_1,or,MEU_47_2
MEU_63_3,or,MEU_63_4
MEU_73_1,or,MEU_73_2
