source,relation,target
MEU_7_1,combine,MEU_7_2
MEU_8_3,combine,MEU_8_4
MEU_8_3,combine,MEU_8_5
MEU_8_3,combine,MEU_8_6
MEU_8_3,combine,MEU_8_7
MEU_8_3,combine,MEU_8_8
MEU_9_1,combine,MEU_9_2
MEU_9_1,combine,MEU_9_3
MEU_9_1,combine,MEU_9_4
MEU_9_1,combine,MEU_9_5
MEU_9_1,combine,MEU_9_6
MEU_9_1,combine,MEU_9_7
MEU_9_1,combine,MEU_9_8
MEU_9_1,combine,MEU_9_9
MEU_9_1,combine,MEU_9_10
MEU_13_1,combine,MEU_13_2
MEU_13_1,combine,MEU_13_3
MEU_13_1,combine,MEU_13_4
MEU_8_2,refer_to,《上市规则》
MEU_9_1,refer_to,《公司法》
MEU_9_2,refer_to,《中华人民共和国公务员法》
MEU_9_3,refer_to,《上市公司独立董事管理办法》
MEU_9_4,refer_to,《关于规范中管干部辞去公职或者退（离）休后担任上市公司、基金管理公司独立董事、独立监事的通知》
MEU_9_5,refer_to,《关于进一步规范党政领导干部在企业兼职（任职）问题的意见》
MEU_9_6,refer_to,《关于加强高等学校反腐倡廉建设的意见》
MEU_9_7,refer_to,《股份制商业银行独立董事和外部监事制度指引》
MEU_9_8,refer_to,《证券基金经营机构董事、监事、高级管理人员及从业人员监督管理办法》
MEU_9_9,refer_to,《银行业金融机构董事（理事）和高级管理人员任职资格管理办法》
MEU_9_9,refer_to,《保险公司董事、监事和高级管理人员任职资格管理规定》
MEU_9_9,refer_to,《保险机构独立董事管理办法》
MEU_28_3,refer_to,《上市规则》
MEU_21_1,depend,MEU_20_1
MEU_21_1,depend,MEU_20_2
