source,relation,target
MEU_24_1,should_include,MEU_9_1
MEU_4_1,refer_to,《收购管理办法》
MEU_4_1,refer_to,《55号准则》
MEU_20_1,refer_to,《55号准则》
MEU_19_1,refer_to,Law_21_3
MEU_19_2,refer_to,Law_21_3
MEU_21_1,refer_to,Law_21_3
MEU_21_2,refer_to,Law_21_3
MEU_21_3,refer_to,Law_21_3
MEU_21_4,refer_to,Law_21_3
MEU_24_1,refer_to,Law_9
MEU_27_1,refer_to,《收购管理办法》
MEU_16_2,combine,MEU_16_3
MEU_16_2,combine,MEU_16_4
MEU_16_2,combine,MEU_16_5
MEU_16_2,combine,MEU_16_6
MEU_16_2,combine,MEU_16_7
MEU_22_2,combine,MEU_22_3
MEU_22_2,combine,MEU_22_4
MEU_22_2,combine,MEU_22_5
MEU_22_2,combine,MEU_22_6
MEU_22_2,combine,MEU_22_7
MEU_32_1,combine,MEU_32_2
MEU_32_1,combine,MEU_32_3
MEU_32_1,combine,MEU_32_4
MEU_32_1,combine,MEU_32_5
MEU_10_1,combine,MEU_10_2
MEU_10_1,combine,MEU_10_3
MEU_10_1,combine,MEU_10_4
MEU_10_1,combine,MEU_10_5
MEU_31_2,combine,MEU_31_3
MEU_31_2,combine,MEU_31_4
MEU_31_2,combine,MEU_31_5
MEU_31_2,combine,MEU_31_6
MEU_24_1,depend,MEU_9_1
MEU_31_3,depend,MEU_9_1
MEU_32_1,depend,MEU_30_2
MEU_32_2,depend,MEU_30_2
MEU_32_3,depend,MEU_30_2
MEU_32_4,depend,MEU_30_2
MEU_32_5,depend,MEU_30_2
