source,relation,target
MEU_17_2,exclude,MEU_17_1
MEU_21_4,exclude,Law_4
MEU_7_1,only_include,Law_2
MEU_7_1,only_include,Law_3
MEU_7_1,only_include,Law_10
MEU_7_1,only_include,Law_11
MEU_7_1,only_include,Law_23
MEU_7_1,only_include,Law_27
MEU_7_2,only_include,Law_2
MEU_7_2,only_include,Law_3
MEU_7_2,only_include,Law_10
MEU_7_2,only_include,Law_11
MEU_7_2,only_include,Law_12
MEU_7_2,only_include,Law_23
MEU_7_2,only_include,Law_27
MEU_18_1,combine,MEU_18_2
MEU_18_1,combine,MEU_18_3
MEU_18_1,combine,MEU_18_4
MEU_4_9,should_include,Law_12
MEU_7_1,should_include,Law_2
MEU_7_1,should_include,Law_3
MEU_7_1,should_include,Law_10
MEU_7_1,should_include,Law_11
MEU_7_1,should_include,Law_23
MEU_7_1,should_include,Law_27
MEU_7_2,should_include,Law_2
MEU_7_2,should_include,Law_3
MEU_7_2,should_include,Law_10
MEU_7_2,should_include,Law_11
MEU_7_2,should_include,Law_12
MEU_7_2,should_include,Law_23
MEU_7_2,should_include,Law_27
MEU_13_3,should_include,Law_12
MEU_24_5,should_include,Law_11
MEU_24_5,should_include,Law_12
MEU_17_1,depend,MEU_18_1
MEU_4_9,depend,Law_12
MEU_13_3,depend,MEU_12_2
MEU_13_3,depend,MEU_12_3
MEU_24_1,refer_to,《上市公司收购管理办法》
MEU_4_4,refer_to,《上市规则》
MEU_13_3,refer_to,Law_12
MEU_15_1,refer_to,《上市规则》
MEU_24_5,refer_to,Law_11
MEU_24_5,refer_to,Law_12
